source_system,application_number,description,address,suburb,postcode,lga,lodgement_date,status,source_url
planningalerts_council,D/2026/127,Fitout and use of ground floor commercial suites 3 & 4 within Wharf 4/5 as a licensed restaurant for 374 patrons operating 11.00am to 11.00pm 7 days a week,15 Hickson Road,Dawes Point,2000,City of Sydney,2026-02-08,,https://www.planningalerts.org.au/applications/3428155
planningalerts_council,DA/2026/0595,Fit out and use as takeaway food and drink premises operating 6:00am-10:00pm 7 days per week with signage,281 Illawarra Road,Marrickville,2204,Inner West Council,,,https://www.planningalerts.org.au/applications/3524262
planningalerts_council,DA-646/2026,Change of use of two existing tenancies to a Cafe and a Barber Shop and associated fitouts,85 Duntroon Street,Hurlstone Park,2193,Canterbury-Bankstown Council,2026-05-25,,https://www.planningalerts.org.au/applications/3489326
planningalerts_council,CD-336/2026,Change of use and fit out of a cafe,310 Burwood Road,Belmore,2192,Canterbury-Bankstown Council,2026-03-11,,https://www.planningalerts.org.au/applications/3446029
planningalerts_council,DA2026/0612,Change of use of an existing coffee shop as restaurant extended to adjoining food takeaway shop with no fitout works proposed,2 Station Street,Wentworthville,2145,Cumberland Council,2026-08-19,,https://www.planningalerts.org.au/applications/3541859
planningalerts_council,D/2026/248,Fit-out and use of Shop A on lower ground floor as a small bar with proposed trading to 4am,152-156 Clarence Street,Sydney,2000,City of Sydney,2026-03-18,,https://www.planningalerts.org.au/applications/3451198
